company_name,country,report_title,source_pdf_url,additional_source_urls,notes,source_type
AXA,France,AXA 2025 Universal Registration Document,https://www.axa.com/en/press/publications/2025-annual-report,,Could not find a direct 2025 PDF URL - landing page only. No GRI index confirmed via search.,downloadable_pdf
Danone,France,Danone 2025 Universal Registration Document (Annual Financial Report),https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2026/registrationdocuments/danoneurdaccessible.pdf,,No standalone GRI index confirmed via search; sustainability info is within the URD.,downloadable_pdf
Airbus,France,Airbus 2025 Universal Registration Document / Annual Report,https://www.globenewswire.com/news-release/2026/03/30/3264801/0/en/2025-universal-registration-document-pdf.html,,Could not find the direct company-hosted PDF for 2025 - only a GlobeNewswire notice. 2023 URD had a GRI Index section.,downloadable_pdf
Engie,France,ENGIE Universal Registration Document 2025 + GRI standards correspondence table,https://www.engie.com/app/uploads/2026/03/Universal-Registration-Document-2025.pdf,https://www.engie.com/sites/default/files/assets/documents/2025-06/2025%20ENGIE%20GRI%20standards%20disclosure_1.pdf,"ENGIE also publishes a standalone GRI standards correspondence table (Core level), dated June 2025 - may cover FY2024, verify reporting year.",downloadable_pdf
Hermes,France,Hermes 2025 Universal Registration Document (incl. Annual Financial Report),https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2026-04/1777391712/260320_hermes_urd2025_en.pdf,,No standalone GRI index confirmed via search; sustainability info would be within the URD if present.,downloadable_pdf
Novo Nordisk,Denmark,Novo Nordisk Annual Report 2025,https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2026/novo-nordisk-annual-report-2025.pdf,,Integrated financial + sustainability report. GRI index presence not confirmed via search.,downloadable_pdf
Novonesis,Denmark,Novonesis Annual Report 2025,https://media.novonesis.com/Novonesis_Annual_Report_2025.pdf,,"URL inferred from press coverage pattern, not independently confirmed - verify it resolves. Also has an ESG Portal at novonesis.com/en/sustainability/esg-portal.",downloadable_pdf
Vestas Wind Systems,Denmark,Vestas Annual Report 2025,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2025/fy-2025/Vestas%20Annual%20Report%202025.pdf.coredownload.inline.pdf,,Sustainability now integrated into Annual Report under CSRD/ESRS. No standalone GRI report found.,downloadable_pdf
Orsted,Denmark,Orsted Annual Report 2025,https://cdn.orsted.com/-/media/annual-2025/annual-report-2025.pdf,,CSRD/ESRS Sustainability Statements embedded in Annual Report. No explicit GRI reference confirmed.,downloadable_pdf
Maersk,Denmark,A.P. Moller - Maersk Annual Report 2025,https://investor.maersk.com/static-files/75fac9de-c2cc-421c-8eaf-17d5c5d86135,,Integrated annual report aligned to ESRS. No standalone GRI report found.,downloadable_pdf
Eni,Italy,Eni Sustainability Statement (Annual Report) + Eni for 2025 - A Just Transition,https://report.eni.com/annual-report-2025/en/_assets/downloads/sustainability-eni-ar25.pdf,https://www.eni.com/content/dam/enicom/documents/eng/sustainability/2025/eni-for-2025-just-transition-eng.pdf,Eni publishes TWO relevant documents: the Sustainability Statement (ESRS-based but references GRI Oil & Gas Sector Standard) and the voluntary 'Eni for 2025' report - both now included.,downloadable_pdf
Enel,Italy,Enel Integrated Annual Report 2025,https://www.enel.com/content/dam/enel-com/documenti/investitori/informazioni-finanziarie/2025/annuali/en/integrated-annual-report_2025.pdf,,"Enel's reports have historically included a Content Index mapping to GRI, SASB, TCFD, WEF, PAI - good candidate.",downloadable_pdf
Ferrari,Italy,Ferrari Group 2025 Sustainability Statement,https://www.ferrarigroup.net/wp-content/uploads/2020/11/Ferrari-Group-2025-Sustainability-Statement.pdf,,Ferrari moved from GRI-guided reporting to ESRS for FY2025 - GRI Standards likely NOT the primary framework this year.,downloadable_pdf
Intesa Sanpaolo,Italy,Intesa Sanpaolo 2025 Annual Report + SDGs Report + Climate Report,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/investor-relations/bilanci-relazioni-en/2025/2025_Annual_Report.pdf,https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/sdgs-report/SDGs_Report_2025.pdf;https://group.intesasanpaolo.com/content/dam/portalgroup/repository-documenti/sostenibilt%C3%A0/climate-report/2025/2025_Climate_Report.pdf,"Sustainability Statement is inside the Annual Report (CSRD, from FY2024 onward). Added the voluntary SDGs Report and Climate Report as they may separately reference GRI.",downloadable_pdf
UniCredit,Italy,UniCredit Sustainability Reporting (in Consolidated Report on Operations 2025),https://www.unicreditgroup.eu/en/esg-and-sustainability/sustainability-reporting.html,,Could not find a direct PDF via search - landing page only.,downloadable_pdf
Iberdrola,Spain,Iberdrola Integrated Report 2025 + Sustainability Report,https://www.iberdrola.com/documents/20125/5613162/gsm26-integrated-report-2025.pdf,https://www.iberdrola.com/documents/20125/42388/IB_Sustainability_Report.pdf,Added the distinct Sustainability Report as second doc - confirm it's the 2025 version and not a stale evergreen link.,downloadable_pdf
Inditex,Spain,Inditex Sustainability Report 2025 + standalone GRI Content Index,https://www.inditex.com/itxcomweb/api/media/f8d28973-3e94-45a5-9b0f-9e4d4b1c14b3/SustainabilityReport.pdf,https://www.inditex.com/itxcomweb/api/media/8a869ea9-26b2-49ad-b634-eac5de2eac04/GRIContentIndex.pdf,"STRONG candidate: Inditex publishes a separate, standalone GRI Content Index PDF (2nd URL) - confirmed by browser spot-check to be titled '2025 (English)'.",downloadable_pdf
Banco Santander,Spain,Banco Santander 2025 Consolidated Annual Financial Report,https://www.santander.com/content/dam/santander-com/en/documentos/informe-financiero-anual/2025/ifa-2025-consolidated-annual-financial-report-en.pdf,,Santander states its sustainability reports use the GRI framework/standards. No separate standalone 2025 Sustainability Statement PDF found (2024 had one; 2025 pattern not located).,downloadable_pdf
Telefonica,Spain,Telefonica Management and Sustainability (ESG) Report 2025,https://www.telefonica.com/en/shareholders-investors/financial-reports/integrated-annual-report/,,Could not find a single direct PDF via search - landing page only.,downloadable_pdf
ASML Holding,Netherlands,ASML 2025 Annual Report (IFRS-based),https://ourbrand.asml.com/m/6ea363f69344ebd4/original/asml-2025-annual-report-based-on-ifrs.pdf,,"Sustainability statement prepared under ESRS, not GRI, per search results.",downloadable_pdf
ING Group,Netherlands,ING Group Annual Report 2025,https://ing.com/binaries/content/assets/documents/annual-reports/2025-ing-groep-nv-annual-report.pdf,,ESRS-based reporting; GRI presence unconfirmed via search.,downloadable_pdf
Heineken,Netherlands,Heineken N.V. Annual Report 2025,https://www.theheinekencompany.com/sites/heineken-corp/files/2026-04/2025_Heineken_NV_Annual_Report_Interactive_100226_FINAL.pdf,,GRI presence unconfirmed via search.,downloadable_pdf
Philips,Netherlands,Philips 2025 GRI Content Index + Full Annual Report 2025,https://www.philips.com/c-dam/corporate/about-philips/sustainability/downloads/publications/gri-content-index-2025.pdf,https://www.results.philips.com/app/uploads/2026/04/PhilipsFullAnnualReport2025-English.pdf,"STRONG candidate: Philips publishes an explicit, dedicated 2025 GRI content index PDF (primary URL), confirmed by browser spot-check. Added Full Annual Report as second doc for context.",downloadable_pdf
Ahold Delhaize,Netherlands,Ahold Delhaize Sustainability Statements (Annual Report 2025 component),https://media.aholddelhaize.com/media/wfmdnqo0/sustainability-statements-annual-report-2025.pdf,,Published as a separate PDF component of the FY2025 Annual Report package.,downloadable_pdf
KBC Group,Belgium,KBC Group 2025 Sustainability Statement (in Annual Report),https://www.kbc.com/en/corporate-sustainability/rapportering.html,,IMPORTANT: search results indicate KBC's Sustainability Report will NO LONGER include a separate GRI content index starting in 2024 - CSRD Sustainability Statement has replaced GRI reporting.,downloadable_pdf
Anheuser-Busch InBev,Belgium,AB InBev Annual Report 2025 (Form 20-F),https://www.ab-inbev.com,,Could not find a direct PDF via search; filed as SEC Form 20-F. GRI presence unconfirmed.,downloadable_pdf
Solvay,Belgium,Solvay Annual Integrated Report 2025,https://www.solvay.com/sites/g/files/srpend616/files/2026-03/Solvay_Annual%20Integrated%20Report_2025_0.pdf,,CSRD/ESRS-based sustainability statement; GRI presence unconfirmed via search.,downloadable_pdf
OMV,Austria,OMV Combined Annual Report 2025 (incl. Sustainability Statement),https://reports.omv.com/en/annual-report/2025/,,"OMV reports generally 'prepared in accordance with GRI Standards' but 2025 content is consolidated into the Sustainability Statement - landing page only, no direct PDF found.",downloadable_pdf
Erste Group,Austria,Erste Group Bank AG Annual Report 2025,https://www.erstegroup.com/en/investors/annualreport2025,,Only found a third-party mirror for the direct PDF - use this official landing page instead. No standalone GRI report found via search.,downloadable_pdf
Deutsche Telekom,Germany,Deutsche Telekom Corporate Responsibility Report 2024,https://www.telekom.com/resource/blob/1104986/ae0c038694f0ae63774a1d2e3f25c3e3/dl-cr-bericht-2024-en-data.pdf,,Only confirmed a 2024 CR report link (prepared 'with reference to' GRI). Could not confirm a direct 2025 CR report PDF - check telekom.com/en/investor-relations/publications/downloads for the newest one before using.,downloadable_pdf
Deutsche Post DHL Group,Germany,DHL Group 2025 Annual Report,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/investors/documents/annual-reports/DHL-Group-2025-Annual-Report.pdf,,Non-financial statement is in the Annual Report; complemented by an ESG Statbook with GRI/SASB/TCFD/WEF disclosure indices - strong candidate.,downloadable_pdf
Munich Re,Germany,Munich Re Group Annual Report 2025,https://www.munichre.com/content/dam/munichre/mrwebsiteslaunches/2025-annual-report/MunichRe-Group-Annual-Report-2025-en.pdf,,Combined non-financial statement under full ESRS application. GRI referenced in earlier (2023) sustainability report; 2025 GRI presence unconfirmed.,downloadable_pdf
RWE,Germany,RWE Sustainability Report (landing page - direct 2025 PDF not found),https://www.rwe.com/en/responsibility-and-sustainability/sustainability-report/,,Group Sustainability Statement is ESRS-aligned. A 'Supplementary Sustainability Report 2025' was mentioned but no direct PDF link found via search - get exact file from this page.,downloadable_pdf
E.ON,Germany,E.ON Integrated Annual Report 2025,https://annualreport.eon.com/content/dam/eon-annualreport/documents/en/GB25-gesamt-EN_final.pdf,,GRI presence unconfirmed via search - needs Gemini check inside PDF.,downloadable_pdf
Fresenius,Germany,Fresenius Annual Report 2025 (incl. Sustainability Statement),https://www.fresenius.com/sites/default/files/2026-03/fresenius_annual_report_2025.pdf,,Sustainability Statement 2025 prepared under ESRS/CSRD; complemented by a Sustainability Factbook. GRI presence in 2025 unconfirmed.,downloadable_pdf
Fresenius Medical Care,Germany,Fresenius Medical Care 2025 Annual Report + GRI Index page,https://freseniusmedicalcare.com/content/dam/fresenius-medical-care/global/en/04_media/pdf/publications/2025/FME_Annual_Report_2025_EN.pdf,https://freseniusmedicalcare.com/en/sustainability/ratings-and-indices/gri/,STRONG candidate: FMC maintains a dedicated GRI Index page confirmed to use GRI 1: Foundation 2021. Verify the linked index covers FY2025 specifically (a 2024 GRI Index was also referenced in search results).,downloadable_pdf
Continental,Germany,Continental Sustainability Reporting (landing page - direct 2025 GRI PDF not found),https://www.continental.com/en/sustainability/reporting-and-downloads/,,"Continental explicitly offers a separate 'Sustainability report according to GRI' PDF per search results, but the exact 2025 file URL wasn't found - get it from this downloads page.",downloadable_pdf
Henkel,Germany,Henkel Sustainable Impact Report 2025,https://www.henkel.com/resource/blob/2147522/8941c6fb4e08be9facee9fd4ee20ae64/data/sustainable-impact-report-2025-en.pdf,,First integrated Sustainability Statement under CSRD/ESRS with the 2025 Annual Report. GRI referenced generally but 2025-specific GRI index unconfirmed.,downloadable_pdf
Beiersdorf,Germany,Beiersdorf 2025 Annual Report,https://www.beiersdorf.com/~/media/Beiersdorf/investors/financial-publication/2026/annual-report/Beiersdorf-2025-Annual-Report.pdf,,Beiersdorf shifted from GRI-based to ESRS-based reporting as of 2024 - likely no 2025 GRI index. Prior-year GRI Content Indices (2021-2023) exist but not 2025.,downloadable_pdf
Merck KGaA,Germany,Merck KGaA Darmstadt Sustainability Statement (Annual Report 2025),https://www.reports.merckgroup.com/en/annualreport/2025/management-report/sustainability-statement.html,,"ESRS-based Combined Sustainability Statement, audited by Deloitte. GRI/SASB/TCFD references reportedly appear under 'Other Information' in the Annual Report - check that section specifically.",downloadable_pdf
Deutsche Boerse,Germany,Deutsche Boerse Annual Report 2025 + dedicated GRI page,https://www.deutsche-boerse.com/resource/blob/4932348/b9015a1a2b7add33a8a0d01527dc9da8/data/annual-report-2025_tug_konzern-jahresfinanzbericht_en.pdf,https://www.deutsche-boerse.com/dbg-en/about-us/sustainability/reports-statements-policies-guidelines/gri,STRONG candidate: dedicated GRI page states the index is compiled per GRI Standards 2021 and independently verified by PwC with limited assurance.,downloadable_pdf
Commerzbank,Germany,Commerzbank Sustainability Reports (landing page) + dedicated GRI Report site,https://www.commerzbank.de/sustainability/reports-ratings/reports-publications/sustainability-reports/sustainability-reports/,https://gri-report.commerzbank.com/en,"STRONG candidate: Commerzbank maintains a dedicated GRI Report microsite (gri-report.commerzbank.com), reported under GRI 1: Foundation 2021 as of the 2024 cycle - confirm it has a 2025 edition.",downloadable_pdf
HeidelbergMaterials,Germany,Heidelberg Materials Annual and Sustainability Report 2025,https://www.heidelbergmaterials.com/system/files/2026-03/HM_ASR25_en.pdf,,STRONG candidate: search results confirm this report includes a GRI content index. First year voluntarily reporting under CSRD too.,downloadable_pdf
Kering,France,Kering Universal Registration Document (year unconfirmed - only 2024 edition located),https://www.kering.com/en/finance/regulated-information/,,"Could not confirm a 2025 URD PDF via search (only the 2024 URD, filed March 2025, was found). Get the current document from Kering's regulated information page.",downloadable_pdf
Vinci,France,VINCI 2025 Universal Registration Document (landing page - direct PDF not found),https://www.vinci.com/en/newsroom/press-releases/publication-2025-universal-registration-document,,"Filed with AMF Feb 27, 2026. No direct PDF link found via search - get exact file from vinci.com Finance/Investors/Annual reports section.",downloadable_pdf
Air Liquide,France,Air Liquide 2025 Universal Registration Document,https://www.airliquide.com/sites/airliquide.com/files/2026-03/air-liquide-2025-universal-registration-document-interactive.pdf,,GRI presence unconfirmed via search - needs Gemini check inside PDF.,downloadable_pdf
Saint-Gobain,France,Saint-Gobain 2025 Universal Registration Document,https://www.saint-gobain.com/sites/saint-gobain.com/files/media/document/Saint-Gobain_2025_DEU_VA.pdf,,'VA' suffix should denote the English (version anglaise) copy - verify language before use. GRI presence unconfirmed.,downloadable_pdf
Credit Agricole,France,Credit Agricole CIB 2025 Universal Registration Document,https://www.ca-cib.com/sites/default/files/2026-03/URD_CACIB_2025_ENG.pdf,,"CAUTION: this is the Credit Agricole CIB (investment banking subsidiary) URD, not the main Credit Agricole S.A. Group URD - the Group-level document is on credit-agricole.com/en/finance/financial-publications but a direct PDF wasn't found. Verify which entity you need before using.",downloadable_pdf
Societe Generale,France,Societe Generale 2025 Universal Registration Document,https://www.societegenerale.com/sites/default/files/documents/2025-03/universal-registration-document-2025.pdf,,"CAUTION: filed 12 March 2025, so this '2025' URD likely covers FY2024 data, not FY2025 - a 3rd amendment was filed Oct 2025. Verify actual reporting period stated inside before treating as the FY2025 report.",downloadable_pdf
Publicis Groupe,France,Publicis Groupe 2025 Universal Registration Document,https://documents.publicisgroupe.com/urd2025/PBS2025_URD_EN_MEL26_04_30.pdf,,"Filed with AMF April 30, 2026, covering FY2025. GRI presence unconfirmed via search.",downloadable_pdf
Capgemini,France,Capgemini 2025 Universal Registration Document (landing page - PDF size looked too small to be the full doc),https://investors.capgemini.com/en/publication/2025-universal-registration-document/,,"Search returned a 132KB PDF reference which is likely a summary/press notice, not the full URD - get the actual full document from this investor page.",downloadable_pdf
Michelin,France,Michelin 2025 Universal Registration Document,https://agngnconpm.cloudimg.io/v7/https:/dgaddcosprod.blob.core.windows.net/cxf-corporate/attachments/f40ixh7py2bnps4raz3p2z4q-universal-registration-document-for-2025.pdf,,Unusual CDN/image-proxy URL - verify it actually resolves to the PDF before relying on it; fall back to michelin.com/en/publications/regulated-information if not.,downloadable_pdf
Pernod Ricard,France,Pernod Ricard FY24/25 Universal Registration Document,https://www.pernod-ricard.com/sites/default/files/inline-files/Pernod%20Ricard%2024_25%20URD%20ENG.pdf,,"NOTE: Pernod Ricard's fiscal year runs July-June, so 'FY24/25' covers July 2024-June 2025, not calendar year 2025 - keep this in mind when filling report_year.",downloadable_pdf
Renault Group,France,Renault Group 2025 Universal Registration Document (landing page - direct PDF not found),https://www.renaultgroup.com/en/finance/regulated-information/,,23.9MB PDF confirmed to exist per search summary but exact URL not captured - get it from this regulated information page.,downloadable_pdf
Danske Bank,Denmark,Danske Bank Group Annual Report 2025,https://danskebank.com/-/media/danske-bank-com/file-cloud/2026/2/annual-report-2025.pdf,,Statutory sustainability statement is inside the Annual Report; supplemented by a separate Sustainability Fact Book. GRI presence unconfirmed via search.,downloadable_pdf
Carlsberg Group,Denmark,Carlsberg Group Annual Report 2025,https://carlsberggroup.com/media/1tgf0wsy/carlsberg-group_2025-annual-report.pdf,,"First year financial and non-financial results presented together, aligned to CSRD. GRI presence unconfirmed via search.",downloadable_pdf
DSV,Denmark,DSV Annual Report 2025 (landing page - direct PDF not found),https://www.dsv.com/en/sustainability-esg/our-reporting/sustainability-reports,,An 18.3MB Annual Report 2025 PDF was referenced in search results but the exact URL wasn't captured - get it from this reporting page.,downloadable_pdf
Coloplast,Denmark,Coloplast Annual Report 2024/25 (landing page - direct PDF not found),https://www.coloplast.com/investor-relations/results-reports-and-presentations/,,"NOTE: Coloplast's fiscal year runs Oct-Sept, so their 'annual report' covers Oct 2024-Sept 2025, not calendar 2025. No direct PDF link found via search.",downloadable_pdf
Genmab,Denmark,Genmab 2025 Annual Report (landing page - direct PDF not found),https://ir.genmab.com/download-library,,"Published Feb 17, 2026, available as PDF and iXBRL. No direct PDF URL found via search - get it from this download library.",downloadable_pdf
Generali,Italy,Generali Sustainability Reports Archive (landing page - direct 2025 PDF not found),https://www.generali.com/info/download-center/sustainability/bilanci,,Sustainability Statement is inside the Annual Integrated Report under CSRD/ESRS. No specific GRI mention found in search results for 2025 - no direct PDF link located either.,downloadable_pdf
Poste Italiane,Italy,Poste Italiane Sustainability Report 2025 (landing page - direct PDF not found),https://www.posteitaliane.it/en/sustainability.html,,IMPORTANT: Poste Italiane explicitly adopted ESRS in 2024 to REPLACE GRI Standards for non-financial reporting - likely correct outcome is 'unable to verify - no GRI index found' for 2025.,downloadable_pdf
Prysmian Group,Italy,Prysmian Sustainability Report (landing page - direct 2025 PDF not found),https://www.prysmian.com/en/sustainability/sustainability-report,,STRONG candidate: search results explicitly confirm the Sustainability Report 'is prepared in accordance with GRI Sustainability Reporting Standards.' Get the exact 2025 PDF from this page.,downloadable_pdf
Moncler,Italy,Moncler Group Annual Report 2025 - Sustainability section,https://www.monclergroup.com/v3/assets/blt61bda6b71f29a239/blt90a19a2ae3630536/6a47880891356541bb1143fa/Moncler-Group-Annual-Report-2025_Sustainability.pdf,,"Consolidated Sustainability Statement dated June 5, 2026; also references a SASB table. GRI presence unconfirmed via search.",downloadable_pdf
Leonardo,Italy,Leonardo Integrated Report 2025,https://www.leonardo.com/documents/15646808/30043445/Integrated+Report+2025.pdf?t=1773421399076,,Prepared under Italian Legislative Decree 125/2024 (transposing CSRD) and ESRS. GRI presence unconfirmed via search.,downloadable_pdf
BBVA,Spain,BBVA Sustainability and Responsible Banking (landing page - Spain Group-level PDF not confirmed),https://shareholdersandinvestors.bbva.com/sustainability-and-responsible-banking/,,"CAUTION: search only surfaced BBVA Mexico and Garanti BBVA (Turkey) reports, not the core BBVA Group (Spain) Annual Financial and Sustainability Report - get the correct Group-level document from this page.",downloadable_pdf
Repsol,Spain,Repsol Consolidated Management Report 2025,https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/informes-anuales/2025/consolidated-management-report-2025.pdf,,"Contains voluntary indicators aligned to GRI Guidelines, alongside CSRD/ESRS reporting - reasonable candidate.",downloadable_pdf
CaixaBank,Spain,CaixaBank Consolidated Annual Financial Report,https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Accionistasinversores/Informacion_economico_financiera/Consolidated-Annual-Financial-Report.pdf,,Sustainability info starts around page 180; explicitly responds to Spanish Law 11/2018 through GRI and SASB frameworks - good candidate. NOTE: URL has no year in the filename and may auto-update to a future year's report - verify the year stated inside.,downloadable_pdf
Amadeus IT Group,Spain,Amadeus Global Report 2025,https://amadeus.com/en/annual-reports/global-report-2025,,STRONG candidate: search results confirm the Global Report 2025 includes a 'GRI Content Index annex.' Landing page only - get the exact PDF from there.,downloadable_pdf
Wolters Kluwer,Netherlands,Wolters Kluwer 2025 Annual Report + dedicated GRI/SASB/TCFD disclosures doc,https://assets.contenthub.wolterskluwer.com/api/public/content/3210406-wolters-kluwer-2025-annual-report-pdf-8bb01b4e47?v=ddef685b,https://assets.contenthub.wolterskluwer.com/api/public/content/3210402-wolters-kluwer-gri-sasb-tcfd-un-global-compact-disclosures-pdf-70a5647954?v=0c1d3da4,"STRONG candidate: dedicated standalone document mapping ESRS disclosures to GRI, SASB, TCFD and UN Global Compact requirements.",downloadable_pdf
Randstad,Netherlands,Randstad Annual Report 2025,https://www.randstad.com/s3fs-media/rscom/public/2026-02/Randstad_Annual_Report_2025_2.pdf?VersionId=1t6W0my386wc.rb2BLLRnQh7iFaLUiVg,,Described as including 'GRI-aligned disclosures' per search summary - needs Gemini confirmation of an actual index.,downloadable_pdf
DSM-Firmenich,Netherlands,dsm-firmenich Global Reporting Initiative Content Index 2025 + Integrated Annual Report 2025,https://www.dsm-firmenich.com/content/dam/dsm-firmenich/sustainability/documents/global-reporting-initiative-content-index-2025.pdf,https://annualreport.dsm-firmenich.com/2025/,"STRONG candidate: dedicated, explicitly-named 'Global Reporting Initiative Content Index 2025' PDF - reported with reference to GRI Standards for the full 2025 calendar year.",downloadable_pdf
